MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P300A,P301A,P207
5.00998E+16,5009,98,11,1,10101,4,4,1,4,6,1
5.00998E+16,5009,98,11,2,10101,4,4,2,4,6,2
5.00998E+16,5009,98,11,3,10101,4,4,3,4,6,2
5.00998E+16,5009,98,11,4,10101,4,4,2,4,3,1
5.00913E+17,5009,126,11,1,10101,4,4,1,4,6,1
5.00913E+17,5009,126,11,2,10101,4,4,1,4,5,2
5.00913E+17,5009,126,11,3,10101,4,4,0, , ,1
5.00913E+17,5009,126,11,4,10101,4,4,4,4,6,1
5.00913E+17,5009,126,11,5,10101,4,4,5,4,8,1
5.03051E+15,5030,5,11,1,10201,7,4,1,4,7,1
5.03051E+15,5030,5,11,2,10201,7,4,2,4,5,2
5.03051E+15,5030,5,11,3,10201,7,4,3,4,5,1
5.03051E+15,5030,5,11,4,10201,7,4,4,4,5,2
5.03051E+15,5030,5,11,5,10201,7,4,1,4,3,2
5.03051E+15,5030,5,11,7,10201,7,4,7,4,6,1
5.03012E+16,5030,12,11,1,10201,7,4,1,4,3,1
5.03012E+16,5030,12,11,2,10201,7,4,2,4,1,2
5.03012E+16,5030,12,11,3,10201,7,4,3,4,1,2
5.0303E+16,5030,30,11,1,10201,7,4,1,4,8,1
5.0303E+16,5030,30,11,2,10201,7,4,2,4,3,2
5.0303E+16,5030,30,11,3,10201,7,4,3,4,6,2
5.0303E+16,5030,30,11,4,10201,7,4,1,4,3,2
5.03047E+16,5030,47,11,1,10201,7,4,1,4,4,1
5.03047E+16,5030,47,11,2,10201,7,4,1,4,4,2
5.03055E+16,5030,55,11,1,10201,7,4,1,4,1,2
5.03055E+16,5030,55,11,2,10201,7,4,2,4,1,2
5.03055E+16,5030,55,11,3,10201,7,4,2,4,3,2
5.03551E+15,5035,5,11,1,10206,7,5,1,4,5,1
5.03551E+15,5035,5,11,2,10206,7,5,2,4,3,2
5.03551E+15,5035,5,11,3,10206,7,5,2,4,3,2
5.03551E+15,5035,5,11,4,10206,7,5,2,4,2,2
5.03532E+16,5035,32,11,1,10206,7,5,1,4,6,1
5.03532E+16,5035,32,11,2,10206,7,5,2,4,7,2
5.03547E+16,5035,47,11,1,10206,7,5,1,4,4,1
5.03575E+16,5035,75,11,1,10206,7,5,1,4,3,1
5.03575E+16,5035,75,11,2,10206,7,5,2,4,1,2
5.03575E+16,5035,75,11,3,10206,7,5,3,4,6,2
5.03575E+16,5035,75,11,4,10206,7,5,3,4,3,1
5.03589E+16,5035,89,11,1,10206,7,5,1,4,6,2
5.03589E+16,5035,89,11,2,10206,7,5,1,4,3,2
5.03589E+16,5035,89,11,3,10206,7,5,1,4,3,1
5.03512E+17,5035,117,11,1,10206,7,5,1,4,6,2
5.03512E+17,5035,117,11,2,10206,7,5,2,4,5,2
5.03512E+17,5035,117,11,3,10206,7,5,3,4,4,1
5.03512E+17,5035,117,11,4,10206,7,5,1,4,3,1
5.04931E+15,5049,3,11,1,10701,7,4,1,4,6,1
5.04931E+15,5049,3,11,2,10701,7,4,2,4,3,2
5.04931E+15,5049,3,11,3,10701,7,4,2,8,6,1
5.04931E+15,5049,3,11,4,10701,7,4,4,4,6,1
5.04919E+16,5049,19,11,1,10701,7,4,1,4,3,2
5.04919E+16,5049,19,11,2,10701,7,4,2,4,4,2
5.04919E+16,5049,19,11,3,10701,7,4,2,4,6,1
5.04924E+16,5049,24,11,1,10701,7,4,1,4,3,1
5.04924E+16,5049,24,11,2,10701,7,4,2,4,1,2
5.04924E+16,5049,24,11,3,10701,7,4,3,4,5,2
5.04928E+16,5049,28,11,1,10701,7,4,1,4,3,2
5.04935E+16,5049,35,11,1,10701,7,4,1,4,3,2
5.04935E+16,5049,35,11,2,10701,7,4,2,4,6,2
5.04935E+16,5049,35,11,3,10701,7,4,2,4,2,1
5.07911E+15,5079,1,11,1,10401,7,8,1,4,3,1
5.07921E+15,5079,2,11,1,10401,7,8,1,4,4,1
5.07921E+15,5079,2,11,2,10401,7,8,1,11,7,2
5.07921E+15,5079,2,11,3,10401,7,8,1,4,2,2
5.07941E+15,5079,4,11,1,10401,7,8,1,4,7,1
5.07941E+15,5079,4,11,2,10401,7,8,2,4,5,2
5.07941E+15,5079,4,11,3,10401,7,8,2,4,3,1
5.07951E+15,5079,5,11,1,10401,7,8,1,4,3,1
5.07951E+15,5079,5,11,2,10401,7,8,2,4,4,2
5.07951E+15,5079,5,11,3,10401,7,8,3,4,5,2
5.07951E+15,5079,5,11,4,10401,7,8,2,4,1,2
5.07932E+16,5079,32,11,1,10401,7,8,1,4,8,1
5.07932E+16,5079,32,11,2,10401,7,8,2,4,6,2
5.07932E+16,5079,32,11,3,10401,7,8,2,4,3,2
5.07933E+16,5079,33,11,1,10401,7,8,1,4,6,1
5.07933E+16,5079,33,11,2,10401,7,8,2,4,6,2
5.07935E+16,5079,35,11,1,10401,7,8,1,4,1,1
5.07935E+16,5079,35,11,2,10401,7,8,2,4,1,2
5.07935E+16,5079,35,11,3,10401,7,8,3,4,9,1
5.07936E+16,5079,36,11,1,10401,7,8,1,4,6,1
5.07936E+16,5079,36,11,2,10401,7,8,2,4,8,2
5.07936E+16,5079,36,11,3,10401,7,8,2,4,5,1
5.07936E+16,5079,36,11,4,10401,7,8,2,4,3,1
5.07936E+16,5079,36,11,5,10401,7,8,2,4,2,2
5.10275E+16,5102,75,11,1,10701,7,7,1,4,3,1
5.10275E+16,5102,75,11,2,10701,7,7,2,4,4,2
