"","MES","CONGLOME","VIVIENDA","HOGAR","CODPERSO","UBIGEO","DOMINIO","ESTRATO","CODINFOR","P300A","P301A","P207","P507","P513T","P524A1","P401H1","P401H2","P401H3","P401H4","P401H5","P401H6"
"1","50099811110101441",5009,98,11,1,10101,4,4,1,4,6,1,3,30,125,2,2,2,2,2,2
"2","50099811210101442",5009,98,11,2,10101,4,4,2,4,6,2,4,60,900,2,2,2,2,2,2
"3","50099811310101443",5009,98,11,3,10101,4,4,3,4,6,2,4,42,600,1,2,2,2,2,2
"4","500912611110101441",5009,126,11,1,10101,4,4,1,4,6,1,4,40,4518,2,2,2,2,2,2
"5","5030511210201742",5030,5,11,2,10201,7,4,2,4,5,2,4,77,250,2,2,2,2,2,2
"6","50301211110201741",5030,12,11,1,10201,7,4,1,4,3,1,4,43,125,2,2,2,2,2,2
"7","50491911310701742",5049,19,11,3,10701,7,4,2,4,6,1,4,24,250,2,2,2,2,2,2
"8","5079111110401781",5079,1,11,1,10401,7,8,1,4,3,1,4,35,600,2,2,2,2,2,2
"9","50793311110401781",5079,33,11,1,10401,7,8,1,4,6,1,4,84,2000,2,2,2,2,2,2
"10","51027511110701771",5102,75,11,1,10701,7,7,1,4,3,1,4,48,450,2,2,2,2,2,2
"11","51027511310701773",5102,75,11,3,10701,7,7,3,4,8,1,4,48,180,2,2,2,2,2,2
"12","51382511210513472",5138,25,11,2,10513,4,7,2,4,4,2,4,18,200,2,2,2,2,2,2
"13","513811111110513471",5138,111,11,1,10513,4,7,1,4,10,1,3,20,2500,2,2,2,2,2,2
"14","513812011810513478",5138,120,11,8,10513,4,7,8,4,3,1,4,46,150,2,2,2,2,2,2
"15","5186511121801221",5186,5,11,1,21801,2,2,1,4,10,1,4,40,400,2,2,2,2,2,2
"16","51862811221801222",5186,28,11,2,21801,2,2,2,4,6,2,6,48,60,2,2,2,2,2,2
"17","51862811321801223",5186,28,11,3,21801,2,2,3,4,5,1,4,30,120,2,2,2,2,2,2
"18","51866212121801221",5186,62,12,1,21801,2,2,1,4,8,2,3,38,2150,2,2,2,2,2,2
"19","51866212221801222",5186,62,12,2,21801,2,2,2,4,10,1,3,20,1130,2,2,2,2,2,2
"20","51866222121801221",5186,62,22,1,21801,2,2,1,4,6,2,3,40,1700,2,2,2,2,2,2
"21","51867311621801226",5186,73,11,6,21801,2,2,6,4,6,2,3,42,150,2,2,2,2,2,2
"22","52124911121809221",5212,49,11,1,21809,2,2,1,4,6,1,4,70,1750,2,2,2,2,2,2
"23","521210111121809221",5212,101,11,1,21809,2,2,1,4,7,2,4,48,680,2,2,2,2,2,2
"24","521210111221809222",5212,101,11,2,21809,2,2,2,4,10,1,3,46,1400,2,2,2,2,2,2
"25","521211311321809223",5212,113,11,3,21809,2,2,3,4,9,2,3,15,2000,2,2,2,2,2,2
"26","52351011121501561",5235,10,11,1,21501,5,6,1,4,3,1,4,48,400,2,2,2,2,2,2
"27","52354911221501562",5235,49,11,2,21501,5,6,2,4,3,2,4,42,550,2,2,2,2,2,2
"28","52354911721501567",5235,49,11,7,21501,5,6,7,4,5,2,4,36,570,2,2,2,2,2,2
"29","52356211221501562",5235,62,11,2,21501,5,6,2,4,10,1,3,40,2000,2,2,2,2,2,2
"30","52441111320105533",5244,11,11,3,20105,5,3,3,4,10,2,3,0,1720,2,2,2,2,2,2
"31","52442511120105531",5244,25,11,1,20105,5,3,1,4,4,1,3,45,1500,2,2,2,2,2,2
"32","52442511320105533",5244,25,11,3,20105,5,3,3,4,8,1,3,23,2288,2,2,2,2,2,2
"33","52443911120105531",5244,39,11,1,20105,5,3,1,1,4,1,4,48,3500,2,2,2,2,2,2
"34","52573611120101531",5257,36,11,1,20101,5,3,1,4,9,1,3,0,2000,2,2,2,2,2,2
"35","52573611220101532",5257,36,11,2,20101,5,3,2,4,9,2,3,0,1050,2,2,2,2,2,2
"36","52576911120101531",5257,69,11,1,20101,5,3,1,4,10,1,3,0,2000,2,2,2,2,2,2
"37","52576911220101532",5257,69,11,2,20101,5,3,2,4,10,2,3,43,3300,2,2,2,2,2,2
"38","52576911420101534",5257,69,11,4,20101,5,3,4,4,10,1,3,60,3130,2,2,2,2,2,2
"39","52577911220101532",5257,79,11,2,20101,5,3,2,1,6,1,3,48,550,2,2,2,2,2,2
"40","54802811140104611",5480,28,11,1,40104,6,1,1,1,5,1,4,45,1000,2,2,2,2,2,2
"41","5511711240103612",5511,7,11,2,40103,6,1,2,4,8,1,3,10,900,2,2,2,2,2,2
"42","5511711340103613",5511,7,11,3,40103,6,1,3,4,7,1,4,48,996,2,2,2,2,2,2
"43","5511711440103614",5511,7,11,4,40103,6,1,4,4,6,1,4,14,120,2,2,2,2,2,2
"44","55118911240103612",5511,89,11,2,40103,6,1,2,1,6,2,4,24,180,2,2,2,2,2,2
"45","551112211340103613",5511,122,11,3,40103,6,1,3,4,6,1,4,49,420,2,2,2,2,2,2
"46","551112211440103614",5511,122,11,4,40103,6,1,4,4,6,1,4,14,75,2,2,2,2,2,2
"47","55181822240102611",5518,18,22,2,40102,6,1,1,4,6,1,4,96,1700,2,2,2,2,2,2
"48","55185211140102611",5518,52,11,1,40102,6,1,1,4,8,2,3,36,2300,2,2,2,2,2,2
"49","55188411340102613",5518,84,11,3,40102,6,1,3,4,6,1,3,58,210,2,2,2,2,2,2
"50","551810011340102613",5518,100,11,3,40102,6,1,3,4,10,2,3,87,950,2,2,2,2,2,2
"51","551811811240102612",5518,118,11,2,40102,6,1,2,4,8,2,3,18,900,2,2,2,2,2,2
"52","551811811440102614",5518,118,11,4,40102,6,1,4,2,4,2,6,63,1500,2,2,2,2,2,2
"53","555914011140129612",5559,140,11,1,40129,6,1,2,4,11,1,3,46,4800,2,2,2,2,2,2
"54","555914011240129612",5559,140,11,2,40129,6,1,2,4,11,2,3,45,3000,2,2,2,2,2,2
