MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P507,P513T,P524A1
50099811110101441,5009,98,11,1,10101,4,4,1,3,30,125
50099811210101442,5009,98,11,2,10101,4,4,2,4,60,900
50099811310101443,5009,98,11,3,10101,4,4,3,4,42,600
500912611110101441,5009,126,11,1,10101,4,4,1,4,40,4518
500912611210101441,5009,126,11,2,10101,4,4,1,2,60, 
500912611310101440,5009,126,11,3,10101,4,4,0, , , 
500912611410101444,5009,126,11,4,10101,4,4,4,5,10, 
500912611510101445,5009,126,11,5,10101,4,4,5,5,28, 
5030511110201741,5030,5,11,1,10201,7,4,1,2,30, 
5030511210201742,5030,5,11,2,10201,7,4,2,4,77,250
5030511310201743,5030,5,11,3,10201,7,4,3, , , 
5030511710201747,5030,5,11,7,10201,7,4,7,2,72, 
50301211110201741,5030,12,11,1,10201,7,4,1,4,43,125
50301211210201742,5030,12,11,2,10201,7,4,2,2,12, 
50301211310201743,5030,12,11,3,10201,7,4,3, , , 
50303011110201741,5030,30,11,1,10201,7,4,1,2,48, 
50303011210201742,5030,30,11,2,10201,7,4,2,5,26, 
50303011310201743,5030,30,11,3,10201,7,4,3,5,36, 
50304711110201741,5030,47,11,1,10201,7,4,1,2,56, 
50304711210201741,5030,47,11,2,10201,7,4,1,2,64, 
50305511110201741,5030,55,11,1,10201,7,4,1,2,14, 
50305511210201742,5030,55,11,2,10201,7,4,2,5,14, 
5035511110206751,5035,5,11,1,10206,7,5,1, , , 
5035511210206752,5035,5,11,2,10206,7,5,2, , , 
50353211110206752,5035,32,11,1,10206,7,5,2,2,48, 
50353211210206752,5035,32,11,2,10206,7,5,2,5,35, 
50354711110206751,5035,47,11,1,10206,7,5,1,2,37, 
50357511110206751,5035,75,11,1,10206,7,5,1,2,0, 
50357511210206752,5035,75,11,2,10206,7,5,2,2,84, 
50357511310206753,5035,75,11,3,10206,7,5,3,5,40, 
50358911110206751,5035,89,11,1,10206,7,5,1,2,63, 
503511711110206751,5035,117,11,1,10206,7,5,1,2,15, 
503511711210206752,5035,117,11,2,10206,7,5,2, , , 
5049311110701741,5049,3,11,1,10701,7,4,1,2,54, 
5049311210701742,5049,3,11,2,10701,7,4,2,2,42, 
5049311310701742,5049,3,11,3,10701,7,4,2,5,28, 
5049311410701744,5049,3,11,4,10701,7,4,4,5,42, 
50491911110701741,5049,19,11,1,10701,7,4,1,2,42, 
50491911210701742,5049,19,11,2,10701,7,4,2,2,28, 
50491911310701742,5049,19,11,3,10701,7,4,2,4,24,250
50492411110701741,5049,24,11,1,10701,7,4,1,2,42, 
50492411210701742,5049,24,11,2,10701,7,4,2,5,40, 
50492811110701741,5049,28,11,1,10701,7,4,1, , , 
50493511110701741,5049,35,11,1,10701,7,4,1,2,40, 
50493511210701742,5049,35,11,2,10701,7,4,2,5,50, 
5079111110401781,5079,1,11,1,10401,7,8,1,4,35,600
5079211110401781,5079,2,11,1,10401,7,8,1,2,50, 
5079211210401781,5079,2,11,2,10401,7,8,1,5,32, 
5079411110401781,5079,4,11,1,10401,7,8,1,2,38, 
5079411210401782,5079,4,11,2,10401,7,8,2,5,10, 
5079511110401781,5079,5,11,1,10401,7,8,1,2,44, 
5079511210401782,5079,5,11,2,10401,7,8,2,5,50, 
50793211110401781,5079,32,11,1,10401,7,8,1,2,70, 
50793211210401782,5079,32,11,2,10401,7,8,2,5,70, 
50793311110401781,5079,33,11,1,10401,7,8,1,4,84,2000
50793311210401782,5079,33,11,2,10401,7,8,2,2,77, 
50793511110401781,5079,35,11,1,10401,7,8,1,2,42, 
50793511210401782,5079,35,11,2,10401,7,8,2,5,21, 
50793511310401783,5079,35,11,3,10401,7,8,3,5,35, 
50793611110401781,5079,36,11,1,10401,7,8,1,1,24, 
50793611210401782,5079,36,11,2,10401,7,8,2,2,84, 
50793611310401782,5079,36,11,3,10401,7,8,2,4,24, 
51027511110701771,5102,75,11,1,10701,7,7,1,4,48,450
51027511210701772,5102,75,11,2,10701,7,7,2,5,7, 
51027511310701773,5102,75,11,3,10701,7,7,3,4,48,180
51027511410701774,5102,75,11,4,10701,7,7,4,5,43, 
51027511510701775,5102,75,11,5,10701,7,7,5,5,14, 
51027711110701772,5102,77,11,1,10701,7,7,2,2,38, 
51027711210701772,5102,77,11,2,10701,7,7,2,5,7, 
510217611110701771,5102,176,11,1,10701,7,7,1,2,28, 
510217711110701771,5102,177,11,1,10701,7,7,1,2,34, 
510217711210701772,5102,177,11,2,10701,7,7,2,5,35, 
510218011110701772,5102,180,11,1,10701,7,7,2,2,20, 
510218011210701772,5102,180,11,2,10701,7,7,2,5,14, 
510218011310701773,5102,180,11,3,10701,7,7,3,5,50, 
510219111110701771,5102,191,11,1,10701,7,7,1,1,50, 
510219111210701772,5102,191,11,2,10701,7,7,2,5,33, 
510219111310701773,5102,191,11,3,10701,7,7,3,5,44, 
510219111410701774,5102,191,11,4,10701,7,7,4,5,33, 
51382511110513471,5138,25,11,1,10513,4,7,1,2,30, 
51382511210513472,5138,25,11,2,10513,4,7,2,4,18,200
51382811110513471,5138,28,11,1,10513,4,7,1,2,48, 
51382811210513472,5138,28,11,2,10513,4,7,2,5,21, 
51382811310513473,5138,28,11,3,10513,4,7,3,5,13, 
51382811410513471,5138,28,11,4,10513,4,7,1,2,33, 
51382811610513476,5138,28,11,6,10513,4,7,6,5,13, 
513811111110513471,5138,111,11,1,10513,4,7,1,3,20,2500
513811111210513472,5138,111,11,2,10513,4,7,2,2,30, 
513811111310513472,5138,111,11,3,10513,4,7,2, , , 
513811811110513471,5138,118,11,1,10513,4,7,1,1,34, 
513811811210513471,5138,118,11,2,10513,4,7,1, , , 
513811911110513471,5138,119,11,1,10513,4,7,1,2,32, 
513811911210513472,5138,119,11,2,10513,4,7,2,5,14, 
513811911310513472,5138,119,11,3,10513,4,7,2,5,7, 
513811911410513474,5138,119,11,4,10513,4,7,4,2,28, 
513812011110513471,5138,120,11,1,10513,4,7,1,2,49, 
513812011210513472,5138,120,11,2,10513,4,7,2,5,26, 
513812011310513473,5138,120,11,3,10513,4,7,3,2,12, 
513812011410513474,5138,120,11,4,10513,4,7,4,5,36, 
513812011810513478,5138,120,11,8,10513,4,7,8,4,46,150
513812111110513471,5138,121,11,1,10513,4,7,1,2,48, 
5186511121801221,5186,5,11,1,21801,2,2,1,4,40,400
5186511221801221,5186,5,11,2,21801,2,2,1, , , 
51861611121801221,5186,16,11,1,21801,2,2,1,2,54, 
51861611221801222,5186,16,11,2,21801,2,2,2, , , 
51862811121801221,5186,28,11,1,21801,2,2,1,2,4, 
51862811221801222,5186,28,11,2,21801,2,2,2,6,48,60
51862811321801223,5186,28,11,3,21801,2,2,3,4,30,120
51862811421801224,5186,28,11,4,21801,2,2,4, , , 
51862811521801225,5186,28,11,5,21801,2,2,5, , , 
51863811121801221,5186,38,11,1,21801,2,2,1, , , 
51863811221801222,5186,38,11,2,21801,2,2,2, , , 
51863811321801223,5186,38,11,3,21801,2,2,3,5,9, 
51863811421801224,5186,38,11,4,21801,2,2,4,2,9, 
51865011121801221,5186,50,11,1,21801,2,2,1,2,56, 
51865011221801222,5186,50,11,2,21801,2,2,2, , , 
51865011321801223,5186,50,11,3,21801,2,2,3, , , 
51866212121801221,5186,62,12,1,21801,2,2,1,3,38,2150
51866212221801222,5186,62,12,2,21801,2,2,2,3,20,1130
51866222121801221,5186,62,22,1,21801,2,2,1,3,40,1700
51866222221801222,5186,62,22,2,21801,2,2,2, , , 
51867311121801221,5186,73,11,1,21801,2,2,1,2,84, 
51867311221801222,5186,73,11,2,21801,2,2,2,2,28, 
51867311321801223,5186,73,11,3,21801,2,2,3,5,48, 
51867311421801224,5186,73,11,4,21801,2,2,4,5,35, 
51867311621801226,5186,73,11,6,21801,2,2,6,3,42,150
51869511121801221,5186,95,11,1,21801,2,2,1,2,84, 
52121111121809221,5212,11,11,1,21809,2,2,1,2,7, 
52124911121809221,5212,49,11,1,21809,2,2,1,4,70,1750
52124911221809222,5212,49,11,2,21809,2,2,2,2,7, 
52124911321809223,5212,49,11,3,21809,2,2,3,5,7, 
52127511121809221,5212,75,11,1,21809,2,2,1,2,48, 
521210111121809221,5212,101,11,1,21809,2,2,1,4,48,680
521210111221809222,5212,101,11,2,21809,2,2,2,3,46,1400
521210111321809223,5212,101,11,3,21809,2,2,3, , , 
521211311121809221,5212,113,11,1,21809,2,2,1,2,7, 
521211311221809222,5212,113,11,2,21809,2,2,2,2,33, 
521211311321809223,5212,113,11,3,21809,2,2,3,3,15,2000
52351011121501561,5235,10,11,1,21501,5,6,1,4,48,400
52354911121501561,5235,49,11,1,21501,5,6,1,2,48, 
52354911221501562,5235,49,11,2,21501,5,6,2,4,42,550
52354911721501567,5235,49,11,7,21501,5,6,7,4,36,570
52355511121501561,5235,55,11,1,21501,5,6,1, , , 
52356211121501561,5235,62,11,1,21501,5,6,1,2,7, 
52356211221501562,5235,62,11,2,21501,5,6,2,3,40,2000
52357111121501561,5235,71,11,1,21501,5,6,1, , , 
52358611121501561,5235,86,11,1,21501,5,6,1, , , 
52358611221501562,5235,86,11,2,21501,5,6,2, , , 
52441111120105531,5244,11,11,1,20105,5,3,1,2,11, 
52441111220105531,5244,11,11,2,20105,5,3,1,5,1, 
52441111320105533,5244,11,11,3,20105,5,3,3,3,0,1720
52442511120105531,5244,25,11,1,20105,5,3,1,3,45,1500
52442511220105532,5244,25,11,2,20105,5,3,2,2,15, 
52442511320105533,5244,25,11,3,20105,5,3,3,3,23,2288
52442511420105534,5244,25,11,4,20105,5,3,4,2,24, 
52442511520105535,5244,25,11,5,20105,5,3,5,2,33, 
52442511620105536,5244,25,11,6,20105,5,3,6, , , 
52443911120105531,5244,39,11,1,20105,5,3,1,4,48,3500
52443911220105532,5244,39,11,2,20105,5,3,2, , , 
52443911320105531,5244,39,11,3,20105,5,3,1, , , 
52443911420105534,5244,39,11,4,20105,5,3,4, , , 
524410511120105531,5244,105,11,1,20105,5,3,1,2,50, 
524410511220105532,5244,105,11,2,20105,5,3,2,5,14, 
524410511320105530,5244,105,11,3,20105,5,3,0, , , 
524410511420105530,5244,105,11,4,20105,5,3,0, , , 
5257211120101531,5257,2,11,1,20101,5,3,1,2,52, 
